@context,@type,name,brand,sku,mpn,description,url,image,itemCondition,offers,price,priceCurrency,availability,priceValidUntil,gtin14,date
https://schema.org,Offer,Garlic Big Size (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",GA5,," Proven Health Benefits of Garlic-:


Garlic Contains Compounds With Potent Medicinal Properties


Garlic Is Highly Nutritious But Has Very Few Calories.


Garlic Can Combat Sickness, Including the Common Cold. 


The Active Compounds in Garlic Can Reduce Blood Pressure. 

",https://fastandfresh.in/products/garlic-big-size-price-per-250gms?variant=33143308091480,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/garlic_6023e85a-2fad-477c-a2a4-16364957034f_500x.jpg?v=1598459417,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '66.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/garlic-big-size-price-per-250gms?variant=33143308091480', 'sku': 'GA5', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",66.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Garlic Green/Hara Lehsun (Price per 250gms),"{'@type': 'Brand', 'name': 'FFG'}",GAR3,,"Proven Health Benefits of Garlic Green-:


Boosts immune system:


Antibiotic:


Rich in iron:


Good for heart:


Fights gastro-intestinal infections:

",https://fastandfresh.in/products/garlic-green-hara-lehsun-price-per-250gms?variant=37776614424767,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/hara-lehsun_500x.jpg?v=1608099884,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '20.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/garlic-green-hara-lehsun-price-per-250gms?variant=37776614424767', 'sku': 'GAR3', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",20.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Garlic Medium (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",GA1,,"
Surprising Health Benefits Of Garlic



The Active Compounds in Garlic Can Reduce Blood Pressure. 



Garlic Is Highly Nutritious But Has Very Few Calories.

",https://fastandfresh.in/products/garlic-large?variant=32604291072088,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/garlic-1_500x.jpg?v=1598459357,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '50.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/garlic-large?variant=32604291072088', 'sku': 'GA1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",50.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Ginger (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",GI1,," Healthy Benefits of Ginger:


Reduces Cold and Flu


Good for Your Heart


Treats Inflammation:


Ginger Improves Brain Functionality


Treats Muscle Pain


At the moment we are delivering New Ginger.

",https://fastandfresh.in/products/ginger?variant=32604291104856,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/ginger_500x.jpg?v=1598459358,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '16.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/ginger?variant=32604291104856', 'sku': 'GI1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",16.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Grape Fruit Imported / Chakotra (Price per Pc),"{'@type': 'Brand', 'name': 'FFG'}",GR1,,"Approx 1 Piece is 200 gms. Can add this in your Morning Breakfast Juice with Oranges and Carrots / Beet Root!!
",https://fastandfresh.in/products/grape-fruit-imported-chakotra-price-per-piece?variant=32690462130264,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/Grapefruit_700x.jpg?v=1598459385,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '60.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/grape-fruit-imported-chakotra-price-per-piece?variant=32690462130264', 'sku': 'GR1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",60.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Grapes Black (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",GR2,,A very sweet variety of grape. Season starts in November end in April.,https://fastandfresh.in/products/grapes-black-price-per-500gms?variant=32675804840024,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/grapesblack_500x.png?v=1598459382,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '98.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/grapes-black-price-per-500gms?variant=32675804840024', 'sku': 'GR2', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",98.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Grapes Red Imported (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",GR4,,"       Many Health Benefits of Eating Grapes-:


Packed With Nutrients, Especially Vitamins C and K. 


High Antioxidant Contents May Prevent Chronic Diseases. 


Plant Compounds May Protect Against Certain Types of Cancer. 


Beneficial for Heart Health in Various Impressive Ways. 

",https://fastandfresh.in/products/grapes-red-imported-price-per-500gms?variant=33225013723224,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/GRAPESREDIMPORTED_500x.png?v=1598459425,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '132.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/grapes-red-imported-price-per-500gms?variant=33225013723224', 'sku': 'GR4', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",132.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Green Choliya/Chickpeas (Price per 200gms),"{'@type': 'Brand', 'name': 'FFG'}",CHO1,,"Green Choliya Benefits For Winter-:
1.Rich In Protein: Just like their mature counterparts, green chickpeas are rich in protein, which is a satiating macronutrient, important for boosting muscle growth.
2. Rich In Vitamins: Green chickpeas are a rich source of vitamins A and C, which are both important during winters, as they have antioxidant properties. Both help in boosting immunity and maintaining skin health.
 ",https://fastandfresh.in/products/green-choliya-chickpeas-price-per-200gms?variant=37830893994175,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/Choliya_Green_Chana_500x.jpg?v=1608526206,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '28.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/green-choliya-chickpeas-price-per-200gms?variant=37830893994175', 'sku': 'CHO1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",28.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Green Grapes (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",GR4,,A sweet variety of Grapes. Mostly grown in Nashik.,https://fastandfresh.in/products/green-grapes-price-per-500gms?variant=32675803267160,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/grapesgreen_500x.jpg?v=1598459382,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '70.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/green-grapes-price-per-500gms?variant=32675803267160', 'sku': 'GR4', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",70.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Guava Fruit Big (Price per pcs/Approx. 400gms to 500gms),"{'@type': 'Brand', 'name': 'FFG'}",GUA1,,"Here are some benefits of Guava fruit-:


Lowers Cholesterol. ...


Heals Cold and Cough. 


Reduces Acne. 


Improves Skin Texture.

",https://fastandfresh.in/products/guava-fruit-price-per-500gms?variant=33284426137688,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/GUAVA_501x.jpg?v=1599669047,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '72.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/guava-fruit-price-per-500gms?variant=33284426137688', 'sku': 'GUA1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",72.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Guava Fruit Small (Price per 500gms),"{'@type': 'Brand', 'name': 'FFG'}",GUA2,,"Healthy Benefits of Guava:


Guava Boost your Immunity


Prevents Diabetes


Guavas Help in Keeping your Heart Healthy


Guava is an Anti-stress Agent

",https://fastandfresh.in/products/guava-fruit-small-price-per-kg?variant=33316043292760,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/GUAVA_500x.png?v=1606964313,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '34.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/guava-fruit-small-price-per-kg?variant=33316043292760', 'sku': 'GUA2', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",34.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
